word1	word2	POS	SimLex999	sim2W1000S	SimLexRank	w2vRank	Spear_coef	T statistic	freedom_deg	p_value
old	new	A	1.58	0.35405207	173	163	0.535631158	20.02429119	997	1.19018E-75
smart	intelligent	A	9.2	0.4531135	979	314	0.535559687	20.09107215	997	1.42583E-74
hard	difficult	A	8.77	0.685696	947	797	0.536831656	19.91754251	997	1.87292E-75
happy	cheerful	A	9.55	0.38383287	990.5	213	0.533518862	20.05943605	997	5.32546E-77
hard	easy	A	0.95	0.7352998	102	876	0.536229542	20.30729721	997	5.51174E-77
fast	rapid	A	8.75	0.50840265	944.5	418	0.540925057	20.30490955	997	4.89632E-76
happy	glad	A	9.17	0.6466136	973	716	0.540880064	20.15298774	997	7.8544E-77
short	long	A	1.23	0.62630016	144	681	0.538007694	20.2803055	997	4.62683E-76
stupid	dumb	A	9.58	0.6098358	988	646	0.540416155	20.15693146	997	2.80141E-75
weird	strange	A	8.93	0.6150274	957	654	0.538082496	20.03132488	997	2.06578E-76
wide	narrow	A	1.03	0.6705377	114.5	760	0.535693829	20.21306884	997	1.69208E-77
bad	awful	A	8.42	0.33994144	917	142	0.539145893	20.3868546	997	9.10276E-80
easy	difficult	A	0.58	0.83882016	58	968	0.54242158	20.74785235	997	1.05539E-78
bad	terrible	A	7.78	0.7055468	859.5	825	0.549147664	20.57886544	997	6.28019E-79
hard	simple	A	1.38	0.5025875	154	404	0.546012245	20.614708	997	1.35026E-79
smart	dumb	A	0.55	0.55074847	53	510	0.546679204	20.72069783	997	1.33191E-79
insane	crazy	A	9.57	0.5125868	980	422	0.548645388	20.72164018	997	1.18131E-79
happy	mad	A	0.95	0.4054458	99.5	234	0.548662828	20.72990521	997	3.12336E-78
large	huge	A	9.47	0.7470141	975.5	876	0.548815763	20.50386716	997	2.38815E-77
hard	tough	A	8.05	0.6427993	877.5	701	0.544613312	20.3629592	997	2.02989E-78
new	fresh	A	6.83	0.18450448	750	50	0.541972634	20.5336673	997	4.22581E-79
sharp	dull	A	0.6	0.5547709	60.5	519	0.545169716	20.64204759	997	3.18219E-78
quick	rapid	A	9.7	0.6229061	976	661	0.54718724	20.50257638	997	1.2092E-78
dumb	foolish	A	6.67	0.39071682	733	218	0.544589195	20.569467	997	2.24551E-79
wonderful	terrific	A	8.63	0.40770063	920	236	0.545837187	20.68564914	997	6.55252E-80
strange	odd	A	9.02	0.44045347	949.5	295	0.547996214	20.77048016	997	4.93075E-80
happy	angry	A	1.28	0.4588322	143	317	0.549565755	20.790046	997	1.49378E-81
narrow	broad	A	1.18	0.7329837	132.5	851	0.549926938	21.0300688	997	1.74197E-81
simple	easy	A	9.4	0.52286357	966	439	0.554332694	21.01954001	997	2.28765E-81
old	fresh	A	0.87	0.12125935	88.5	32	0.554140401	21.00086921	997	5.03863E-80
apparent	obvious	A	8.47	0.750782	906.5	868	0.553799188	20.78855707	997	1.42623E-78
inexpensive	cheap	A	8.72	0.7769965	921.5	902	0.549899464	20.55806162	997	2.21917E-78
nice	generous	A	5	0.52605605	540.5	444	0.545624651	20.52750343	997	2.89735E-78
weird	normal	A	0.72	0.18808308	77	51	0.545054688	20.50906271	997	1.89294E-79
weird	odd	A	9.2	0.3623373	952.5	170	0.544710371	20.69742101	997	2.73292E-79
bad	immoral	A	7.62	0.51898474	826	430	0.548214364	20.67210676	997	2.06923E-81
sad	funny	A	0.95	0.8173734	96	935	0.547745116	21.00774522	997	1.30613E-82
wonderful	great	A	8.05	0.3320191	867	130	0.553924881	21.19671843	997	1.7053E-82
guilty	ashamed	A	6.38	0.50223523	699.5	393	0.557364504	21.1785053	997	8.82219E-82
beautiful	wonderful	A	6.5	0.64864683	711	696	0.557034236	21.06612561	997	3.69956E-81
confident	sure	A	8.27	0.5827754	886.5	572	0.554990546	20.96791927	997	1.9527E-82
dumb	dense	A	7.27	0.23223338	785.5	66	0.553196339	21.16925035	997	2.93483E-82
large	big	A	9.55	0.53825986	955	462	0.556866311	21.1414077	997	6.99698E-83
nice	cruel	A	0.67	0.5428079	65	475	0.55636071	21.23932505	997	5.09583E-83
impatient	anxious	A	6.03	0.4433456	664	292	0.558136077	21.26095536	997	2.82353E-83
big	broad	A	6.73	0.43618783	727.5	282	0.558527233	21.30121447	997	2.42712E-83
strong	proud	A	3.17	0.34704074	327	148	0.559254274	21.31152535	997	3.2315E-85
unnecessary	necessary	A	0.63	0.7137088	62	806	0.559440272	21.60512068	997	3.56662E-85
restless	young	A	1.6	0.2884686	163	104	0.564701067	21.59842925	997	4.41327E-85
dumb	intelligent	A	0.75	0.27451625	76	88	0.564581925	21.58398223	997	2.79724E-85
bad	great	A	0.35	0.423122	12	256	0.564324573	21.61490581	997	1.40106E-85
difficult	simple	A	0.87	0.4867648	83	353	0.564875229	21.66176487	997	1.67359E-85
necessary	important	A	7.37	0.51080513	788	400	0.565708211	21.64972218	997	1.92623E-85
bad	terrific	A	0.65	0.3180818	62	122	0.565494301	21.64019457	997	2.06575E-85
mad	glad	A	1.45	0.35085338	147	151	0.565324985	21.6354554	997	1.97767E-85
honest	guilty	A	1.18	0.38871726	123	206	0.565240738	21.63840866	997	7.23157E-86
easy	tough	A	0.52	0.50091547	50	381	0.565293239	21.70655409	997	9.12212E-86
easy	flexible	A	4.1	0.5163328	426	402	0.566502783	21.69082941	997	2.59937E-87
certain	sure	A	8.42	0.28920418	880.5	103	0.566224003	21.93129523	997	5.37168E-86
essential	necessary	A	8.97	0.70221746	915.5	778	0.570465982	21.72667843	997	4.34935E-86
different	normal	A	1.08	0.4267216	108	254	0.566859281	21.74096418	997	5.13289E-86
sly	clever	A	7.25	0.5108523	767	394	0.567112156	21.72975568	997	1.21177E-84
crucial	important	A	8.82	0.7225511	904	803	0.566913765	21.51542641	997	4.83083E-84
harsh	cruel	A	8.18	0.5843682	861	556	0.563101111	21.42143287	997	1.54757E-83
childish	foolish	A	5.5	0.6552573	589.5	686	0.561417644	21.3421859	997	2.00385E-82
scarce	rare	A	9.17	0.66059184	921.5	696	0.559992857	21.16748407	997	8.86561E-82
friendly	generous	A	5.9	0.673873	634	722	0.556834255	21.06578954	997	4.73566E-82
fragile	frigid	A	2.38	0.5597832	228	502	0.554984419	21.1086929	997	5.1917E-82
long	narrow	A	3.57	0.47476465	359.5	332	0.555765844	21.10240436	997	5.73505E-82
big	heavy	A	6.18	0.4903911	663	354	0.555651399	21.09559556	997	5.7407E-82
rough	frigid	A	2.47	0.35868838	237	157	0.55552745	21.09552831	997	2.45377E-80
bizarre	strange	A	9.37	0.78705806	924	870	0.555526226	20.83803376	997	3.05077E-80
illegal	immoral	A	4.28	0.49583983	443.5	362	0.550811482	20.82306389	997	2.29521E-80
bad	guilty	A	4.2	0.37917978	434.5	188	0.550535746	20.84262502	997	7.3106E-81
modern	ancient	A	0.73	0.5282858	72	424	0.550896015	20.9211968	997	1.07682E-80
new	ancient	A	0.23	0.17016557	1.5	43	0.552340017	20.89461291	997	1.10529E-81
dull	funny	A	0.55	0.59124213	49.5	559	0.55185201	21.05069406	997	1.07562E-81
happy	young	A	2	0.40936202	190.5	225	0.554709127	21.05255689	997	1.09698E-81
easy	big	A	1.12	0.37413526	107.5	172	0.554743108	21.05121116	997	1.37344E-81
great	awful	A	1.17	0.16022721	113	41	0.55471856	21.03582093	997	1.60943E-82
tiny	huge	A	0.6	0.5845657	56	545	0.55443771	21.18245724	997	1.62273E-83
polite	proper	A	7.63	0.35798216	795	154	0.557105921	21.33895555	997	1.45457E-83
modest	ashamed	A	2.65	0.26317635	253.5	79	0.559934673	21.34640686	997	7.68517E-84
exotic	rare	A	8.05	0.47515678	829.5	324	0.560068872	21.38984405	997	6.64592E-84
dumb	clever	A	1.17	0.4159966	111.5	232	0.560850303	21.39973128	997	7.75006E-84
delightful	wonderful	A	8.65	0.5280791	870.5	415	0.561027965	21.38927182	997	1.73982E-82
noticeable	obvious	A	8.48	0.72995013	861.5	790	0.560840019	21.17713604	997	3.79046E-82
afraid	anxious	A	5.07	0.69383603	517	736	0.557009396	21.12391754	997	1.50004E-81
formal	proper	A	8.02	0.58499825	823.5	541	0.556042786	21.02978228	997	8.34444E-81
dreary	dull	A	8.25	0.607507	842.5	582	0.554327462	20.91211882	997	1.74018E-80
delightful	cheerful	A	6.58	0.5470019	685	453	0.552173434	20.86164773	997	3.40091E-81
unhappy	mad	A	5.95	0.3145061	625.5	113	0.551246072	20.97369042	997	9.55742E-81
sad	terrible	A	5.4	0.6248036	558.5	610	0.55330199	20.90280224	997	1.06691E-80
sick	crazy	A	3.57	0.51498115	349	383	0.552002404	20.89524803	997	2.55121E-81
violent	angry	A	6.98	0.38376597	713	191	0.551863676	20.99339622	997	6.22882E-82
laden	heavy	A	5.9	0.3451588	616.5	136	0.553662539	21.0899453	997	6.29211E-82
dirty	cheap	A	1.6	0.37986603	147.5	184	0.555424564	21.08925369	997	5.53337E-81
elastic	flexible	A	7.78	0.6526995	800	654	0.555411968	20.94030794	997	2.69741E-81
hard	dense	A	5.9	0.41198468	615	221	0.552690495	20.98957719	997	1.27098E-82
recent	new	A	7.05	0.19691813	716.5	51	0.553592688	21.19858086	997	7.96776E-83
bold	proud	A	3.97	0.33750784	397	126	0.557398261	21.23045887	997	6.77779E-83
