word1	word2	POS	SimLex999	sim2W100S	SimLexRank	w2vRank	Spear_coef	T statistic	freedom_deg	p_value
afraid	anxious	A	5.07	0.68409395	559	769	0.520986279	19.27246386	997	1.34E-70
apparent	obvious	A	8.47	0.74857646	922.5	876	0.519748601	19.20970577	997	3.24234E-70
bad	terrific	A	0.65	0.31348747	67	116	0.515179804	18.97946521	997	8.179E-69
bad	immoral	A	7.62	0.43832913	840	274	0.515003621	18.97063107	997	9.25406E-69
bad	awful	A	8.42	0.32496488	918	125	0.515995192	19.02039292	997	4.61399E-69
bad	great	A	0.35	0.41263846	12	229	0.519607072	19.2025399	997	3.58596E-70
bad	guilty	A	4.2	0.41902107	462.5	240	0.51992584	19.2186827	997	2.85789E-70
bad	terrible	A	7.78	0.7488828	859.5	871	0.520057897	19.22537345	997	2.60126E-70
beautiful	wonderful	A	6.5	0.62406987	723	652	0.515922952	19.01676406	997	4.85435E-69
big	broad	A	6.73	0.42310515	742.5	244	0.513701949	18.90546412	997	2.29934E-68
big	heavy	A	6.18	0.48238778	692	337	0.514631693	18.95199266	997	1.20074E-68
bizarre	strange	A	9.37	0.8049778	977	940	0.514526887	18.94674317	997	1.29211E-68
bold	proud	A	3.97	0.3527598	435	147	0.508789099	18.66109443	997	6.88861E-67
certain	sure	A	8.42	0.24520327	910.5	70	0.509306198	18.68669841	997	4.82897E-67
childish	foolish	A	5.5	0.6451371	612.5	685	0.51388778	18.91475666	997	2.01966E-68
confident	sure	A	8.27	0.59333956	898.5	576	0.512117429	18.82637583	997	6.92564E-68
crucial	important	A	8.82	0.74464333	938	858	0.509778531	18.71010971	997	3.489E-67
delightful	wonderful	A	8.65	0.60848343	921.5	608	0.50472195	18.46065488	997	1.1025E-65
delightful	cheerful	A	6.58	0.53587675	726	437	0.50190771	18.32292962	997	7.34821E-65
different	normal	A	1.08	0.4905108	122	345	0.500924619	18.27500234	997	1.41955E-64
difficult	simple	A	0.87	0.5043294	89.5	371	0.501461773	18.30117773	997	9.90865E-65
dirty	narrow	A	0.3	0.2816301	7	92	0.502284024	18.34130061	997	5.70781E-65
dirty	cheap	A	1.6	0.37213913	174	167	0.501996331	18.3272547	997	6.924E-65
dreary	dull	A	8.25	0.6921938	889.5	763	0.501960855	18.32552321	997	7.09081E-65
dull	funny	A	0.55	0.5787856	51	530	0.497781192	18.12238656	997	1.14894E-63
dumb	foolish	A	6.67	0.53571546	728	431	0.500031841	18.23155983	997	2.57656E-64
dumb	intelligent	A	0.75	0.34501308	78	139	0.499069602	18.1848241	997	4.88894E-64
dumb	rare	A	0.48	0.19021533	38.5	52	0.498956699	18.17934631	997	5.26983E-64
