word1	word2	POS	SimLex999	sim10W1000S	SimLexRank	w2vRank	Spear_coef	T statistic	freedom_deg	p_value
old	new	A	1.58	0.2795853	173	173	0.533690381	19.92234907	997	7.52477E-76
smart	intelligent	A	9.2	0.25436196	979	142	0.533610955	20.12304284	997	7.35385E-75
hard	difficult	A	8.77	0.6499648	947	783	0.537439306	19.96387385	997	2.9028E-74
happy	cheerful	A	9.55	0.5667433	990.5	621	0.534405775	19.86774491	997	1.67261E-75
hard	easy	A	0.95	0.6762714	102	820	0.53256363	20.06733098	997	5.0861E-76
fast	rapid	A	8.75	0.3812637	944.5	297	0.536379879	20.15033858	997	2.21993E-75
happy	glad	A	9.17	0.5760983	973	633	0.53795744	20.0475705	997	4.407E-76
short	long	A	1.23	0.59453124	144	673	0.5360035	20.16032211	997	9.96201E-77
stupid	dumb	A	9.58	0.37423113	988	290	0.538146797	20.26378638	997	4.07655E-76
weird	strange	A	8.93	0.56970674	957	622	0.540104411	20.16575069	997	1.56252E-76
wide	narrow	A	1.03	0.5024508	114.5	504	0.538249727	20.23249151	997	1.31706E-77
bad	awful	A	8.42	0.27150312	917	162	0.539513212	20.40422377	997	1.14787E-79
easy	difficult	A	0.58	0.80370826	58	956	0.542747621	20.73188267	997	6.99886E-79
bad	terrible	A	7.78	0.6121424	859.5	705	0.548852345	20.60722887	997	3.58841E-79
hard	simple	A	1.38	0.48701555	154	468	0.546540118	20.65332604	997	3.4387E-79
smart	dumb	A	0.55	0.31707934	53	208	0.547396645	20.65626522	997	2.86578E-79
insane	crazy	A	9.57	0.4630127	980	428	0.5474512	20.66883354	997	3.07565E-79
happy	mad	A	0.95	0.2827201	99.5	173	0.547684403	20.66396018	997	5.24017E-78
large	huge	A	9.47	0.69448936	975.5	830	0.547593994	20.46806117	997	3.6165E-77
hard	tough	A	8.05	0.6206305	877.5	714	0.54394382	20.33416446	997	2.72457E-78
new	fresh	A	6.83	0.09944295	750	51	0.541431022	20.51331529	997	1.52435E-78
sharp	dull	A	0.6	0.42513004	60.5	358	0.544789798	20.55346424	997	7.90395E-79
quick	rapid	A	9.7	0.43658775	976	379	0.54553895	20.59883255	997	4.1712E-79
dumb	foolish	A	6.67	0.37413207	733	284	0.546383921	20.6429448	997	9.05477E-81
wonderful	terrific	A	8.63	0.14590153	920	69	0.547203902	20.90651097	997	3.14651E-82
strange	odd	A	9.02	0.24913527	949.5	135	0.552070496	21.13664702	997	2.09057E-82
happy	angry	A	1.28	0.4384882	143	377	0.556274197	21.16458937	997	3.57111E-83
